City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bubaque,GW,2021-05-29 22:00:15,11.2833,-15.8333,79.03,68,6,18.59
68,Kaeo,NZ,2021-05-29 21:59:13,-35.1,173.7833,53.33,98,86,8.16
69,Pevek,RU,2021-05-29 22:03:10,69.7008,170.3133,42.31,55,0,11.14
70,Suntar,RU,2021-05-29 22:03:10,62.1444,117.6319,58.93,56,19,5.57
71,Yumen,CN,2021-05-29 22:03:11,40.2833,97.2,63.39,39,3,2.28
72,Norman Wells,CA,2021-05-29 22:00:00,65.282,-126.8329,39.24,75,75,11.5
73,Cherskiy,RU,2021-05-29 22:03:11,68.75,161.3,55.58,37,16,13.6
74,Acari,PE,2021-05-29 22:03:12,-15.4311,-74.6158,69.73,77,79,6.06
75,Longyearbyen,SJ,2021-05-29 22:03:12,78.2186,15.6401,33.64,69,75,6.91
76,Barcelos,PT,2021-05-29 22:03:12,41.5388,-8.6151,69.28,89,24,1.66
77,Sabzevar,IR,2021-05-29 22:03:13,36.2126,57.6819,82.4,14,0,4.43
78,Chengde,CN,2021-05-29 22:03:13,40.9725,117.9361,56.03,65,100,0.69
79,Kodiak,US,2021-05-29 22:03:13,57.79,-152.4072,44.85,99,100,7.23
80,Hasaki,JP,2021-05-29 22:03:14,35.7333,140.8333,68.4,82,99,11.05
81,Port-Gentil,GA,2021-05-29 22:02:10,-0.7193,8.7815,79.18,85,86,10.54
82,Williston,US,2021-05-29 22:01:43,48.147,-103.618,71.92,32,74,5.99
83,Esperance,AU,2021-05-29 22:03:14,-33.8667,121.9,62.85,86,93,14.61
84,Tuktoyaktuk,CA,2021-05-29 22:03:15,69.4541,-133.0374,32.32,75,74,6.42
85,Carnarvon,AU,2021-05-29 22:03:15,-24.8667,113.6333,66.76,61,3,14.58
86,Alta,NO,2021-05-29 22:03:15,69.9689,23.2717,43.84,70,90,2.3
87,Mayo,US,2021-05-29 22:03:16,38.8876,-76.5119,53.71,93,90,11.99
88,Albany,US,2021-05-29 22:03:16,42.6001,-73.9662,52.84,71,100,3.51
89,Mahebourg,MU,2021-05-29 22:03:16,-20.4081,57.7,74.25,83,27,6.11
90,Bonavista,CA,2021-05-29 22:03:17,48.6499,-53.1147,44.11,84,30,9.91
91,Inirida,CO,2021-05-29 22:03:17,3.8653,-67.9239,78.58,94,76,2.37
92,Brownsville,US,2021-05-29 22:00:58,25.9018,-97.4975,84.2,74,75,14.97
93,Kavaratti,IN,2021-05-29 22:03:18,10.5669,72.642,83.16,75,91,15.9
94,Iberia,US,2021-05-29 22:00:58,29.9502,-91.7507,76.96,66,99,4.9
95,Necochea,AR,2021-05-29 22:03:18,-38.5473,-58.7368,42.04,54,63,18.79
96,Beringovskiy,RU,2021-05-29 21:58:33,63.05,179.3167,33.37,81,7,10.51
97,Torbay,CA,2021-05-29 22:03:18,47.6666,-52.7314,46.76,80,100,1.99
98,Pangnirtung,CA,2021-05-29 22:03:19,66.1451,-65.7125,31.03,87,17,4.45
99,Paamiut,GL,2021-05-29 22:03:19,61.994,-49.6678,33.82,100,100,8.63
100,Ylivieska,FI,2021-05-29 22:03:20,64.0833,24.55,40.32,66,28,1.14
101,Tautira,PF,2021-05-29 21:59:03,-17.7333,-149.15,84.22,72,100,13.78
102,Hithadhoo,MV,2021-05-29 22:03:20,-0.6,73.0833,83.48,72,34,18.7
103,Wad Rawah,SD,2021-05-29 22:03:20,15.1603,33.1397,97.75,20,74,6.71
104,Santa Maria,BR,2021-05-29 22:02:33,-29.6842,-53.8069,54.63,82,1,4.32
105,Hofn,IS,2021-05-29 22:03:21,64.2539,-15.2082,45.64,87,100,17.92
106,Fallon,US,2021-05-29 22:03:21,39.4735,-118.7774,85.42,11,99,12.91
107,Salalah,OM,2021-05-29 22:01:55,17.0151,54.0924,82.51,81,86,8.57
108,Hovd,MN,2021-05-29 22:03:22,48.0056,91.6419,45.82,54,40,9.15
109,Altamira,BR,2021-05-29 21:59:56,-3.2033,-52.2064,86.09,74,0,0.0
110,Omboue,GA,2021-05-29 22:03:22,-1.5746,9.2618,76.68,92,86,5.75
111,Eenhana,NA,2021-05-29 22:03:23,-17.4667,16.3333,57.9,30,0,6.38
112,Oussouye,SN,2021-05-29 22:03:23,12.485,-16.5469,75.25,68,33,12.46
113,Zlobin,HR,2021-05-29 22:03:24,45.2924,14.6541,51.1,67,20,8.68
114,Atuona,PF,2021-05-29 22:02:45,-9.8,-139.0333,78.94,72,13,9.17
115,Juneau,US,2021-05-29 22:03:24,58.3019,-134.4197,53.65,90,100,1.01
116,Katsuura,JP,2021-05-29 21:58:25,35.1333,140.3,72.1,79,99,5.26
117,Henties Bay,NA,2021-05-29 22:03:24,-22.116,14.2845,56.86,82,52,7.4
118,Severo-Kurilsk,RU,2021-05-29 22:03:25,50.6789,156.125,41.43,89,100,9.42
119,Port Lincoln,AU,2021-05-29 22:03:25,-34.7333,135.8667,53.31,71,2,11.5
120,Luanda,AO,2021-05-29 21:58:54,-8.8368,13.2343,75.2,94,20,3.44
121,Quatre Cocos,MU,2021-05-29 22:03:26,-20.2078,57.7625,74.08,83,51,6.31
122,Sitka,US,2021-05-29 22:03:26,57.0531,-135.33,50.14,81,100,6.49
123,Guerrero Negro,MX,2021-05-29 21:59:33,27.9769,-114.0611,67.1,63,68,21.59
124,Kapaa,US,2021-05-29 22:03:26,22.0752,-159.319,82.47,68,46,1.99
125,Olafsvik,IS,2021-05-29 22:03:27,64.8945,-23.7142,44.22,92,100,31.05
126,Zeya,RU,2021-05-29 22:03:27,53.75,127.2667,50.76,82,100,3.31
127,Ciudad Bolivar,VE,2021-05-29 22:03:27,8.1222,-63.5497,85.33,58,87,11.21
128,Tekeli,KZ,2021-05-29 22:03:28,44.83,78.8239,55.36,38,1,9.04
129,Ancud,CL,2021-05-29 22:03:28,-41.8697,-73.8203,49.23,80,97,5.77
130,Kharagpur,IN,2021-05-29 22:03:28,22.3333,87.3333,82.85,86,37,10.67
131,Amangarh,PK,2021-05-29 22:03:29,34.0058,71.93,85.42,29,10,3.51
132,Butaritari,KI,2021-05-29 22:03:29,3.0707,172.7902,82.49,79,100,14.74
133,Jutai,BR,2021-05-29 22:03:29,-5.1833,-68.9,78.73,88,86,0.89
134,Mount Gambier,AU,2021-05-29 22:03:30,-37.8333,140.7667,31.91,93,75,2.3
135,Fukue,JP,2021-05-29 22:03:30,32.6881,128.8419,67.68,68,78,3.29
136,Voznesenye,RU,2021-05-29 22:03:30,61.0106,35.4781,37.63,76,25,7.11
137,Kangalassy,RU,2021-05-29 22:03:31,62.3464,129.9628,58.93,65,79,0.78
138,Fort Portal,UG,2021-05-29 22:03:31,0.6617,30.2748,59.95,97,65,2.37
139,Tutoia,BR,2021-05-29 22:03:31,-2.7619,-42.2744,80.26,78,91,6.6
140,Xuanhua,CN,2021-05-29 22:03:32,40.6103,115.0447,59.56,59,72,3.27
141,Slavsk,RU,2021-05-29 22:03:32,55.0425,21.677,44.22,92,13,6.6
