City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
674,Ostersund,SE,63.1792,14.6357,53.62,66,20,3.44,few clouds
675,Gonen,TR,40.1049,27.654,59.67,95,100,4.56,overcast clouds
676,Yuli,NG,9.6989,10.2744,78.42,70,84,6.04,broken clouds
677,Chuncheng,CN,22.1731,111.7886,87.03,90,100,1.54,overcast clouds
678,Irricana,CA,51.3237,-113.6048,80.44,34,39,4.14,scattered clouds
679,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,72,20,8.05,few clouds
680,Kindu,CD,-2.95,25.95,72.32,81,93,2.28,overcast clouds
681,Bestobe,KZ,52.4994,73.0975,65.08,77,39,8.77,light rain
682,Broken Hill,AU,-31.95,141.4333,57.33,40,100,9.28,overcast clouds
683,Aquiraz,BR,-3.9014,-38.3911,81.18,86,16,8.16,few clouds
684,Chicama,PE,-7.8447,-79.1469,64.94,79,98,8.25,overcast clouds
